-9.234e-5	9.937e-7
0.039	1.007e-5
0.077	5.032e-5
0.124	1.202e-4
0.177	2.752e-4
0.268	5.453e-4
0.362	0.001
0.490	0.002
0.740	0.004
1.081	0.009
1.228	0.011
1.419	0.014
1.731	0.020
2.044	0.027
2.315	0.032
2.672	0.037
2.967	0.043
3.235	0.045
3.495	0.046
3.888	0.046
4.109	0.043
4.354	0.040
4.611	0.036
4.828	0.031
5.032	0.027
5.274	0.019
5.493	0.013
5.725	0.008
5.899	0.004
6.038	0.002
6.121	7.176e-4
6.172	3.413e-4
6.210	1.295e-4
6.228	7.416e-5
6.251	3.069e-5
6.268	1.236e-5
6.273	3.820e-6
6.286	1.051e-6
