0.018	0.061
0.155	0.061
0.295	0.061
0.438	0.056
0.574	0.053
0.713	0.050
0.859	0.045
0.993	0.041
1.140	0.036
1.266	0.031
1.393	0.026
1.529	0.022
1.650	0.018
1.779	0.015
1.891	0.012
2.012	0.009
2.118	0.007
2.227	0.005
2.325	0.004
2.408	0.003
2.508	0.002
2.575	0.002
2.649	0.001
2.717	7.395e-4
2.780	5.077e-4
2.879	2.395e-4
2.956	1.107e-4
2.988	7.456e-5
3.030	4.983e-5
3.051	3.326e-5
3.073	2.133e-5
3.101	1.439e-5
3.118	9.698e-6
3.136	6.578e-6
3.148	4.426e-6
3.160	2.864e-6
3.176	1.938e-6
3.186	1.250e-6
